"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"78",11,"Circle",9,3.220588235,2.108455882,5,"F",0.785714285714286
"79",11,"Circle",9,3.473038603,2.719976103,7,"M",0.785714285714286
"80",11,"Circle",9,3.900123162,2.398897059,6,"F",0.785714285714286
"81",11,"Circle",9,3.972426471,2.085170956,5,"F",0.785714285714286
"82",11,"Circle",10,3.475972687,0.854595102,2,"M",0.461538461538462
"83",11,"Circle",10,3.31991619,1.025514123,2,"M",0.461538461538462
"84",11,"Circle",10,5.014243871,1.05523917,2,"F",0.461538461538462
"85",11,"Circle",10,3.710676085,2.597844637,7,"F",0.461538461538462
"86",11,"Circle",10,3.675998102,2.112336155,5,"F",0.461538461538462
"87",11,"Circle",10,3.81471375,1.768021646,4,"F",0.461538461538462
"88",11,"Circle",10,4.062423713,1.82747174,5,"F",0.461538461538462
"89",11,"Circle",10,3.519941605,1.356823923,3,"F",0.461538461538462
"90",11,"Circle",10,3.111840861,1.300470808,3,"M",0.461538461538462
"91",11,"Circle",10,3.004087566,1.421228811,3,"M",0.461538461538462
"92",11,"Circle",10,2.465321088,0.871315441,2,"M",0.461538461538462
"93",11,"Circle",10,2.463463273,1.737057436,4,"F",0.461538461538462
"94",11,"Circle",10,2.587936907,2.145776833,6,"M",0.461538461538462
"95",11,"Circle",10,3.04310169,1.900545195,5,"F",0.461538461538462
"96",11,"Circle",10,2.641813555,2.591652538,7,"F",0.461538461538462
"97",11,"Circle",11,3.049213918,0.838856775,2,"M",0.625
"98",11,"Circle",11,2.823392857,0.973858616,2,"M",0.625
"99",11,"Circle",11,4.058050442,3.18728461,8,"F",0.625
"100",11,"Circle",11,2.372361929,1.931148748,5,"F",0.625
"101",11,"Circle",11,2.887210972,2.391997423,6,"F",0.625
"102",11,"Circle",11,3.636474595,1.456798601,3,"M",0.625
"103",11,"Circle",11,4.181393594,1.062836892,2,"M",0.625
"104",11,"Circle",11,4.053755523,1.319342784,3,"M",0.625
"105",11,"Circle",11,3.588610088,2.052037923,5,"F",0.625
"106",11,"Circle",11,3.64015648,2.700049705,7,"F",0.625
"107",11,"Circle",11,4.328668999,2.90746134,8,"F",0.625
"108",11,"Circle",11,3.674521355,2.932008468,8,"F",0.625
"109",11,"Circle",11,4.420103093,1.444526878,3,"F",0.625
"110",11,"Circle",11,4.876656848,1.119293078,2,"?",0.625
"111",11,"Circle",12,3.020597212,0.676337604,1,"M",1
"112",11,"Circle",12,3.291885833,0.706480784,1,"M",1
"113",11,"Circle",12,3.334589299,1.331951771,3,"M",1
"114",11,"Circle",12,3.882191032,1.068198945,2,"M",1
"115",11,"Circle",12,2.621200075,2.630619819,7,"F",1
"116",11,"Circle",12,2.485555765,2.731098342,7,"F",1
"117",11,"Circle",12,3.482793896,2.640668802,7,"F",1
"118",11,"Circle",12,3.397386963,3.180732856,8,"F",1
"119",11,"Circle",12,3.824415976,1.645943858,4,"F",1
"120",11,"Circle",12,4.610022607,0.827053504,2,"F",1
"121",11,"Circle",12,4.446119066,1.094574228,2,"F",1
