"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"77",13,"Tube",12,2.347748412,1.514941178,"Low","Y",3,0.414347962418361
"78",13,"Tube",12,4.026603956,1.936703828,"Low","N",5,0.115120538573585
"79",13,"Tube",12,4.851216133,1.747572595,"Low","Y",6,0.0342922687789612
"80",13,"Tube",13,2.744230769,1.925,"Low","Y",4,0.164679061820444
"81",13,"Tube",13,3.426923077,1.976923077,"Low","N",5,0.0532566645279223
"82",13,"Tube",13,4.841025,2.002563462,"Low","Y",6,0.179556844669397
"83",13,"Tube",14,2.413723917,1.563001605,"Low","Y",3,0.398451422502105
"84",13,"Tube",14,2.530096308,1.956260032,"Low","Y",4,0.356633867095833
"85",13,"Tube",14,3.543338684,1.95024077,"Low","N",5,0.190481280347538
"86",14,"Tube",1,4.417275703,4.649595687,"Low","N",5,0.109935278202135
"87",14,"Tube",2,3.071301965,4.170445956,"Low","N",5,0.197264577240933
"88",14,"Tube",3,6.161211948,4.342973744,"Low","Y",6,0.00394239776463791
"89",14,"Tube",4,2.922597378,4.141698502,"Low","N",5,0.196460481401011
"90",14,"Tube",5,7.093548911,2.57503659,"Low","Y",7,0.643846105296798
"91",14,"Tube",13,7.11651339,2.815949612,"Low","Y",7,0.634512113458602
"92",15,"Tube",7,6.810410334,3.958966565,"Low","Y",6,0.0469499991750913
"93",15,"Tube",9,4.585974643,4.179873217,"Low","N",5,0.0953803768225514
"94",15,"Tube",10,6.183426073,4.340222576,"Low","Y",6,0.543711923060616
"95",15,"Tube",12,6.143561137,4.162772586,"Low","Y",6,0.00677573984289675
"96",15,"Tube",13,6.23049922,4.117264041,"Low","Y",6,0.00735821424732094
"97",16,"Tube",1,2.933713889,1.327156996,"Low","Y",4,0.327084828938704
"98",16,"Tube",1,4.599430449,0.887384303,"Low","Y",7,0.109744308837771
"99",16,"Tube",4,4.22310757,1.25498008,"Low","Y",6,0.126970587168713
"100",16,"Tube",4,4.631474104,0.644920319,"Low","Y",7,0.30892238228155
"101",16,"Tube",5,2.871024735,1.300795053,"Low","Y",4,0.17528194529
"102",16,"Tube",5,3.490503534,1.335026502,"Low","N",5,0.0365035376665021
"103",16,"Tube",6,4.063962559,1.271450858,"Low","Y",6,0.346400641336946
"104",16,"Tube",6,4.329173167,1.35725429,"Low","Y",6,0.408771446752479
"105",16,"Tube",8,4.363778298,1.319281811,"Low","Y",6,0.503679829683212
"106",16,"Tube",8,4.363778298,1.319281811,"Low","Y",6,0.188581739064574
"107",16,"Tube",8,4.668227947,1.2509758,"Low","Y",6,0.571950311860832
"108",16,"Tube",8,4.668227947,1.2509758,"Low","Y",6,0.253817050249658
"109",16,"Tube",9,2.820496815,1.067701598,"Low","Y",3,0.200182704082308
"110",16,"Tube",13,3.238236384,0.580461282,"Low","N",2,0.0847413412083695
"111",16,"Tube",13,3.087563913,1.266519081,"Low","Y",4,0.2342957857299
"112",16,"Tube",14,2.842105263,1.221804511,"Low","Y",4,0.188034859951805
"113",16,"Tube",14,3.22556391,1.229323308,"Low","Y",4,0.162113454337514
"114",17,"Tube",3,3.278228925,2.114269142,"Low","N",2,0.0431124920493728
"115",17,"Tube",3,3.019464424,2.311162026,"Low","N",2,0.0270743536176682
"116",17,"Tube",3,6.174271075,4.42575406,"Low","Y",6,0.429019899560332
"117",17,"Tube",5,3.350988701,1.52306968,"Low","Y",1,0.0701537541013325
"118",17,"Tube",5,2.959039548,2.172787194,"Low","N",2,0.0224309530550824
"119",17,"Tube",5,3.661330038,4.698681733,"Low","N",5,0.274139077897785
"120",17,"Tube",6,2.802526596,2.35483156,"Low","N",2,0.0156255412517248
"121",17,"Tube",6,2.941046099,2.156471631,"Low","N",2,0.0214476652764319
"122",17,"Tube",6,6.040188387,4.502067819,"Low","Y",6,0.421146274082955
"123",17,"Tube",7,3.386627907,1.883944544,"Low","Y",1,0.0563213594785565
"124",17,"Tube",7,2.521243292,2.147808587,"Low","N",2,0.00612246877347014
"125",17,"Tube",7,3.605395796,4.262819767,"Low","N",5,0.26437589763517
"126",17,"Tube",8,3.880866426,1.647111913,"Low","Y",1,0.0847043784239472
"127",17,"Tube",8,2.058513087,2.272863267,"Low","N",2,0.0400646213452918
"128",17,"Tube",8,5.068440884,4.400570848,"Low","Y",6,0.36470982730125
"129",17,"Tube",9,2.873590226,2.193766447,"Low","N",2,0.00819142520555125
"130",17,"Tube",9,2.699718045,2.170270207,"Low","N",2,0.0063742975159563
"131",17,"Tube",9,5.655545113,4.755639098,"Low","Y",6,0.407712869390622
"132",17,"Tube",10,3.173194752,2.158167036,"Low","N",2,0.0333391786288281
"133",17,"Tube",10,2.983494087,2.281350702,"Low","N",2,0.0209170981596129
"134",17,"Tube",10,6.231831116,4.342817812,"Low","Y",6,0.435243575049905
"135",17,"Tube",11,3.278727445,2.115384615,"Low","N",2,0.453912164360974
"136",17,"Tube",11,2.780151947,2.340930674,"Low","N",2,0.421010825660537
"137",17,"Tube",11,5.69325736,4.618549383,"Low","Y",6,0.016576607835286
"138",17,"Tube",12,3.19843342,2.421671018,"Low","N",2,0.042127743997677
"139",17,"Tube",12,3.105598346,2.175080505,"Low","N",2,0.0341755825054868
"140",17,"Tube",12,3.286190165,4.276181462,"Low","N",5,0.24457484922635
"141",17,"Tube",14,3.651226158,2.24568574,"Low","Y",1,0.0664114741731653
"142",17,"Tube",14,2.770208901,2.195731153,"Low","N",2,0.0112556376500897
"143",17,"Tube",14,4.554950045,4.291553134,"Low","N",5,0.326210376263075
"144",18,"Tube",3,2.476340694,1.625262224,"Low","Y",4,0.074509080420886
"145",18,"Tube",5,2.473080524,1.499297753,"Low","Y",3,0.075566421109087
"146",18,"Tube",6,3.322072072,1.808558559,"Low","N",5,0.0766783735231397
"147",18,"Tube",7,2.579545455,1.55,"Low","Y",3,0.0619093610486019
"148",18,"Tube",8,2.720588235,0.950311943,"Low","N",2,0.0616308895332029
"149",18,"Tube",9,2.536880885,1.195856874,"Low","Y",3,0.131575721715626
