"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Density"
"106",3,"Circle",8,4.355244253,2.077922078,6,"High"
"107",3,"Circle",9,4.295437822,2.024159308,5,"High"
"108",3,"Circle",10,3.809088085,1.926169591,5,"High"
"109",3,"Circle",11,3.657611968,2.016029736,5,"High"
"110",3,"Circle",12,3.959990962,1.917932032,5,"High"
"111",3,"Circle",13,3.707569597,2.100122711,6,"High"
"112",4,"Tube",4,2.1945047,1.51904013,3,"High"
"113",4,"Tube",4,2.34318016,2.444688184,4,"High"
"114",4,"Tube",5,2.313999633,2.438816079,4,"High"
"115",4,"Tube",5,3.074114583,2.489224138,4,"High"
"116",4,"Tube",6,2.773522976,1.320811451,2,"High"
"117",4,"Tube",6,2.186813187,2.245421245,3,"High"
"118",4,"Tube",7,2.465353756,1.300145879,2,"High"
"119",4,"Tube",7,2.35052106,1.64609114,3,"High"
"120",4,"Tube",8,2.353225983,2.330180131,3,"High"
"121",4,"Tube",8,2.683150183,2.545177656,4,"High"
"122",4,"Tube",9,2.289251812,2.030797101,3,"High"
"123",4,"Tube",9,3.425524223,2.5,5,"High"
"124",4,"Tube",10,2.444204464,1.340293377,2,"High"
"125",4,"Tube",10,6.161560904,2.530999271,6,"High"
"126",4,"Tube",11,2.27217288,1.792763158,3,"High"
"127",4,"Tube",11,5.114022926,2.621300946,6,"High"
"128",4,"Tube",12,4.104803493,2.567321689,5,"High"
"129",4,"Tube",13,2.812947067,1.536123033,2,"High"
"130",4,"Tube",13,2.265512266,2.211399711,3,"High"
"131",4,"Circle",4,3.554572271,1.744100295,7,"High"
"132",4,"Circle",4,3.47650514,1.769456681,7,"High"
"133",4,"Circle",5,3.340675477,1.712555066,6,"High"
"134",4,"Circle",5,4.016152717,1.953010279,7,"High"
"135",4,"Circle",6,3.516886931,1.565712188,6,"High"
"136",4,"Circle",6,3.646755162,1.810471976,7,"High"
"137",4,"Circle",7,4.05543399,1.796134209,7,"High"
"138",4,"Circle",7,4.236263736,1.862637363,7,"High"
"139",4,"Circle",8,3.602564103,1.921245421,7,"High"
"140",4,"Circle",8,4.105825959,1.972713864,7,"High"
"141",4,"Circle",9,3.387918486,1.73580786,6,"High"
"142",4,"Circle",9,3.631732169,2.048762737,8,"High"
"143",4,"Circle",10,3.736263736,1.697802198,6,"High"
"144",4,"Circle",10,3.719912473,2.04595186,8,"High"
"145",4,"Circle",11,3.208241354,1.605960265,6,"High"
"146",4,"Circle",12,3.081268222,1.702501822,6,"High"
"147",4,"Circle",13,3.172238372,1.762354651,7,"High"
"148",4,"Circle",13,4.067765568,1.891941392,7,"High"
"149",5,"Tube",4,2.996313191,1.043266129,3,"High"
"150",5,"Tube",4,2.850574713,1.199233716,3,"High"
"151",5,"Tube",4,2.996313191,1.466973886,3,"High"
"152",5,"Tube",4,2.892720307,1.657088123,4,"High"
"153",5,"Tube",5,2.786118168,1.174620862,3,"High"
