"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",4,5.397644295,1.745717994,8,0.962762519333292,"High","Worker","N"
1,"Tube",4,5.68651723,1.736805729,8,0.936711556904973,"High","Worker","N"
1,"Tube",4,5.847002194,1.85270797,8,0.920569068306088,"High","Worker","N"
1,"Tube",4,5.939730407,3.345218137,6,0.752502796073067,"High","Worker","Y"
1,"Tube",4,5.939730407,1.528175275,8,0.927509591337266,"High","Worker","N"
1,"Tube",4,6.123394749,1.551354654,7,0.91470564659815,"High","Worker","Y"
1,"Tube",4,6.201855848,3.199000286,6,0.775574622074255,"High","Worker","Y"
1,"Tube",4,6.303496325,2.83701575,7,0.801047744062777,"High","Worker","Y"
1,"Tube",4,6.337374701,2.758560001,7,0.808481540043886,"High","Worker","Y"
1,"Tube",4,6.371253077,2.307415368,7,0.847464603434932,"High","Worker","Y"
1,"Tube",4,6.380170692,2.77638988,7,0.810050519963227,"High","Worker","Y"
1,"Tube",4,6.492510167,3.241796276,6,0.802587652640491,"High","Worker","Y"
1,"Tube",4,6.504990547,2.815617755,7,0.8179931017413,"High","Worker","Y"
1,"Tube",4,6.620898138,2.585589306,7,0.838381959679873,"High","Worker","Y"
1,"Tube",4,6.62802902,2.451851836,7,0.847438514857138,"High","Worker","Y"
1,"Tube",4,6.629815753,2.895860237,6,0.814449936635274,"High","Worker","Y"
1,"Tube",4,3.275680002,1.465762673,2,0.149294424578242,"High","Worker","N"
1,"Tube",4,6.471112172,2.532094318,7,0.832614409916568,"High","Worker","Y"
1,"Tube",4,3.193650787,3.281024151,5,0.501249164862164,"High","Worker","N"
1,"Tube",4,6.109127636,3.348786252,6,0.768094659080144,"High","Worker","Y"
1,"Tube",4,6.59771876,2.906559234,6,0.811476838300929,"High","Worker","Y"
1,"Tube",4,5.650857471,1.8651937,8,0.938674078108961,"High","Worker","N"
1,"Tube",4,6.547786538,3.009986444,6,0.806877835562817,"High","Worker","Y"
1,"Tube",4,3.817760764,3.245364392,5,0.557003857578826,"High","Worker","N"
1,"Tube",4,3.186519905,1.794756849,2,0.174971682705808,"High","Worker","N"
1,"Tube",4,5.451139283,3.222179664,6,0.706591737947529,"High","Worker","Y"
1,"Tube",4,6.392651073,3.2079179,6,0.793200354301224,"High","Worker","Y"
1,"Tube",4,6.159059858,3.081311312,6,0.771150726342109,"High","Worker","Y"
1,"Tube",4,5.691866729,3.302422146,6,0.729356105016066,"High","Worker","Y"
1,"Tube",4,1.808130596,3.124107302,4,0.394536422650967,"High","Worker","Y"
1,"Tube",4,3.660843916,3.16512191,5,0.541630694538941,"High","Worker","N"
1,"Tube",4,2.753210502,3.170471409,4,0.459348400501466,"High","Worker","Y"
1,"Tube",4,1.893722577,2.765690882,3,0.36112382175297,"High","Worker","Y"
1,"Tube",4,6.508558663,2.264619378,7,0.855751066228655,"High","Worker","Y"
1,"Tube",4,3.311339761,3.04386482,5,0.508446539340063,"High","Worker","N"
1,"Tube",4,2.020329165,3.124107302,4,0.400286535950616,"High","Worker","Y"
1,"Tube",4,4.49001623,3.090228926,5,0.617283331598041,"High","Worker","N"
1,"Tube",4,6.398000571,2.619473032,7,0.822153026966445,"High","Worker","Y"
1,"Tube",4,6.414049068,2.981452218,6,0.7945121844368,"High","Worker","Y"
1,"Tube",4,3.495009453,3.314907876,5,0.528989070369066,"High","Worker","N"
1,"Tube",4,2.610555417,3.295291264,4,0.451285840543221,"High","Worker","Y"
1,"Tube",4,1.663694128,2.785307495,3,0.367649515972584,"High","Worker","Y"
1,"Tube",4,1.699359237,1.934737184,3,0.303930769010293,"High","Worker","Y"
1,"Tube",4,5.884448686,3.099141191,6,0.745877790898123,"High","Worker","Y"
1,"Tube",4,1.697577854,2.931525345,4,0.378838828394729,"High","Worker","Y"
1,"Tube",4,2.403711696,1.53708754,2,0.229074532824722,"High","Worker","N"
1,"Tube",4,2.98323895,1.471112172,2,0.175352359055681,"High","Worker","N"
1,"Tube",4,4.103065584,3.154422912,5,0.582098875622791,"High","Worker","N"
1,"Tube",4,6.522825776,3.232878662,6,0.80532871470173,"High","Worker","Y"
1,"Tube",5,4.016547872,3.267140071,5,0.575440510096653,"High","Worker","N"
1,"Tube",5,5.864657801,3.139480496,6,0.744210154043987,"High","Worker","Y"
1,"Tube",5,4.609929078,3.146572695,5,0.628656334507283,"High","Worker","N"
1,"Tube",5,1.875886525,3.044326241,4,0.38660626820226,"High","Worker","Y"
1,"Tube",5,4.359338652,3.154845745,5,0.605660283862145,"High","Worker","N"
1,"Tube",5,2.322695035,3.279551418,4,0.428501726810749,"High","Worker","Y"
1,"Tube",5,2.839835106,3.032505319,4,0.464981182930984,"High","Worker","Y"
1,"Tube",5,3.661347518,3.249409574,5,0.54282330792986,"High","Worker","N"
1,"Tube",5,1.718675532,2.416076241,3,0.334182583314368,"High","Worker","Y"
1,"Tube",5,1.806147163,2.720448582,3,0.358297117778765,"High","Worker","Y"
1,"Tube",5,3.24822695,1.432624113,2,0.150721300342348,"High","Worker","N"
1,"Tube",5,1.735815603,1.570921986,3,0.290569562677561,"High","Worker","Y"
1,"Tube",5,1.931441489,2.550828014,3,0.341045221852568,"High","Worker","Y"
1,"Tube",5,1.964539007,2.790189716,3,0.362912424195293,"High","Worker","Y"
1,"Tube",5,1.773049645,2.160757092,3,0.311231280917326,"High","Worker","Y"
1,"Tube",5,6.205673759,1.582742908,7,0.911740719199363,"High","Worker","Y"
1,"Tube",5,6.362884752,2.118794326,7,0.864124524069253,"High","Worker","Y"
1,"Tube",5,5.660164894,3.254136525,6,0.726054060315677,"High","Worker","Y"
1,"Tube",5,2.764184397,1.712765957,2,0.201687597299595,"High","Worker","N"
1,"Tube",5,2.64893617,1.50177305,2,0.206213431553364,"High","Worker","N"
1,"Tube",5,6.417257092,2.696218085,7,0.817668642493362,"High","Worker","Y"
1,"Tube",5,3.774822695,3.095744681,5,0.551453802334388,"High","Worker","N"
1,"Tube",5,2.187943262,1.427304965,2,0.247850528227025,"High","Worker","N"
1,"Tube",5,5.638297872,1.812056738,8,0.939998194198208,"High","Worker","N"
1,"Tube",5,3.106382979,1.764184397,2,0.17789278252596,"High","Worker","N"
1,"Tube",5,6.374703901,2.848700355,7,0.805813834123651,"High","Worker","Y"
1,"Tube",5,2.890070922,1.5,2,0.184317243775111,"High","Worker","N"
1,"Tube",5,2.485815603,1.671985816,2,0.224442715050432,"High","Worker","N"
