"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Density"
"56",11,"Circle",4,4.819246784,1.145589001,3,"Low"
"57",11,"Circle",4,3.115978024,3.07896384,8,"Low"
"58",11,"Circle",5,3.129893238,1.976868327,5,"Low"
"59",11,"Circle",5,3.451957295,2.919928826,8,"Low"
"60",11,"Circle",5,2.941281139,3.048042705,8,"Low"
"61",11,"Circle",5,4.795966192,2.379003559,6,"Low"
"62",11,"Circle",5,4.824435943,1.852313167,5,"Low"
"63",11,"Circle",6,3.458332721,1.805759191,5,"Low"
"64",11,"Circle",6,3.071079044,2.141544118,6,"Low"
"65",11,"Circle",6,4.375,2.232229779,6,"Low"
"66",11,"Circle",6,4.541667279,2.416053309,6,"Low"
"67",11,"Circle",6,3.100490809,3.004288603,8,"Low"
"68",11,"Circle",8,3.146520702,1.865865354,5,"Low"
"69",11,"Circle",8,2.802824846,2.891379476,8,"Low"
"70",11,"Circle",8,2.530965139,2.594747659,7,"Low"
"71",11,"Circle",8,4.364008467,2.831929382,8,"Low"
"72",11,"Circle",8,4.886054606,1.514738236,4,"Low"
"73",11,"Circle",9,5.026961397,1.543505515,4,"Low"
"74",11,"Circle",9,3.174632353,3.148897059,8,"Low"
"75",11,"Circle",9,3.169117647,2.257965074,6,"Low"
"76",11,"Circle",9,4.243259191,2.379288603,6,"Low"
"77",11,"Circle",9,4.041053309,2.212623162,6,"Low"
"78",11,"Circle",10,4.915779653,1.384072502,3,"Low"
"79",11,"Circle",10,4.906490575,2.405870994,6,"Low"
"80",11,"Circle",10,4.520064964,2.404013179,6,"Low"
"81",11,"Circle",10,3.04310169,2.545207152,7,"Low"
"82",11,"Circle",10,2.940921841,3.082115814,8,"Low"
"83",11,"Circle",11,2.234291237,2.368065169,6,"Low"
"84",11,"Circle",11,3.055964654,3.088488586,8,"Low"
"85",11,"Circle",11,5.031296024,1.577687776,4,"Low"
"86",11,"Circle",11,3.835296392,2.513499632,7,"Low"
"87",11,"Circle",11,4.247667526,2.596956922,7,"Low"
"88",11,"Circle",12,2.601105878,2.846646571,8,"Low"
"89",11,"Circle",12,2.849787114,3.075231726,8,"Low"
"90",11,"Circle",12,3.678724567,3.027505652,8,"Low"
"91",11,"Circle",12,4.847400151,1.769655237,4,"Low"
"92",11,"Circle",13,4.067613113,2.36196319,6,"Low"
"93",11,"Circle",13,4.215874233,2.147239264,6,"Low"
"94",11,"Circle",13,4.992969709,1.991309433,5,"Low"
"95",11,"Circle",13,2.84828796,2.287831672,6,"Low"
"96",11,"Circle",13,3.372315951,3.142254601,8,"Low"
"97",12,"Tube",3,1.539735099,2.324012141,3,"Low"
"98",12,"Tube",5,2.866617539,1.562883198,2,"Low"
"99",12,"Tube",7,1.600223547,1.868479881,3,"Low"
"100",12,"Tube",7,3.502235469,3.125931446,5,"Low"
"101",12,"Tube",8,1.797520661,1.788129226,3,"Low"
"102",12,"Tube",8,3.011519534,3.379663787,5,"Low"
"103",12,"Tube",8,4.513523666,1.77310293,8,"Low"
"104",12,"Tube",9,1.441277412,2.626705044,3,"Low"
"105",12,"Tube",9,4.130116959,3.389376827,5,"Low"
"106",12,"Tube",9,4.803850512,3.198099415,6,"Low"
"107",12,"Tube",10,2.973843436,3.162885831,5,"Low"
"108",12,"Tube",10,5.277054667,3.144291558,6,"Low"
"109",12,"Tube",10,6.289202306,2.453824842,7,"Low"
"110",12,"Tube",11,1.416791918,2.603223187,3,"Low"
"111",12,"Tube",11,4.454933912,3.054507175,5,"Low"
"112",12,"Tube",11,4.853978474,3.153952039,6,"Low"
"113",12,"Tube",12,1.709977238,2.938163885,3,"Low"
"114",12,"Tube",12,2.688732929,3.272951442,4,"Low"
"115",12,"Tube",12,6.070751138,1.776365706,7,"Low"
"116",12,"Tube",13,3.67703533,1.25,1,"Low"
"117",12,"Tube",13,3.252688172,1.607142857,2,"Low"
"118",12,"Tube",13,5.184971198,3.382617127,6,"Low"
"119",12,"Tube",14,2.311743681,1.422458531,2,"Low"
"120",12,"Tube",14,4.041271722,3.199052133,5,"Low"
"121",12,"Tube",14,6.154225908,1.760466035,7,"Low"
"122",12,"Circle",1,3.951567444,1.538301415,5,"Low"
"123",12,"Circle",2,3.419629895,2.152204935,7,"Low"
"124",12,"Circle",3,3.097499411,1.610270377,5,"Low"
"125",12,"Circle",4,3.095828923,1.987309946,6,"Low"
"126",12,"Circle",6,4.107496918,1.52614893,4,"Low"
"127",12,"Circle",7,3.978927203,2.777777778,8,"Low"
"128",12,"Circle",8,2.605105416,1.531468077,5,"Low"
"129",12,"Circle",10,2.938836072,1.302816901,4,"Low"
"130",12,"Circle",11,3.062611624,1.539005004,5,"Low"
"131",12,"Circle",12,2.848344881,1.22786759,3,"Low"
"132",13,"Tube",3,2.677411919,1.046351199,2,"Low"
"133",13,"Tube",3,3.703148426,1.932158921,5,"Low"
"134",13,"Tube",3,4.389055472,1.964017991,6,"Low"
"135",13,"Tube",5,2.743914127,0.982365344,2,"Low"
"136",13,"Tube",5,2.651907226,1.871765382,4,"Low"
"137",13,"Tube",5,4.884991374,1.856430899,6,"Low"
"138",13,"Tube",7,3.146563663,0.974808265,2,"Low"
"139",13,"Tube",7,2.709730082,0.982254281,2,"Low"
"140",13,"Tube",7,3.314718913,1.919210722,5,"Low"
"141",13,"Tube",7,4.42231385,1.937825763,6,"Low"
"142",13,"Tube",8,4.359534207,1.883793668,6,"Low"
"143",13,"Tube",8,4.79500182,1.92988901,6,"Low"
"144",13,"Tube",8,4.944201237,2.012372635,6,"Low"
"145",13,"Tube",9,2.597078402,1.936945266,4,"Low"
"146",13,"Tube",9,3.88683432,1.956360947,5,"Low"
"147",13,"Tube",9,4.744822485,1.963757396,6,"Low"
"148",13,"Tube",10,2.54726306,1.552860075,3,"Low"
"149",13,"Tube",10,4.692164179,1.955223881,6,"Low"
"150",13,"Tube",10,5.080223881,1.910447761,6,"Low"
"151",13,"Tube",11,2.833078101,1.960183767,4,"Low"
"152",13,"Tube",11,3.323124043,1.935936064,5,"Low"
"153",13,"Tube",11,4.927258806,1.939127106,6,"Low"
"154",13,"Tube",12,2.347748412,1.514941178,3,"Low"
"155",13,"Tube",12,4.026603956,1.936703828,5,"Low"
"156",13,"Tube",12,4.851216133,1.747572595,6,"Low"
"157",13,"Tube",13,2.744230769,1.925,4,"Low"
"158",13,"Tube",13,3.426923077,1.976923077,5,"Low"
"159",13,"Tube",13,4.841025,2.002563462,6,"Low"
"160",13,"Tube",14,2.413723917,1.563001605,3,"Low"
"161",13,"Tube",14,2.530096308,1.956260032,4,"Low"
"162",13,"Tube",14,3.543338684,1.95024077,5,"Low"
"163",13,"Circle",1,3.103331286,1.336337019,7,"Low"
"164",13,"Circle",1,3.389981572,1.117936118,5,"Low"
"165",13,"Circle",1,4.110018428,1.076986077,5,"Low"
"166",13,"Circle",2,3.67760974,0.739749086,3,"Low"
"167",13,"Circle",2,3.958714392,0.847541095,4,"Low"
"168",13,"Circle",2,3.470479996,0.955333105,4,"Low"
"169",13,"Circle",3,3.434489832,0.707216745,3,"Low"
"170",13,"Circle",3,3.596780393,0.703258438,3,"Low"
"171",13,"Circle",3,3.541364104,1.202005041,6,"Low"
"172",13,"Circle",4,3.877374784,0.859958981,4,"Low"
"173",13,"Circle",4,3.472942573,0.993810449,5,"Low"
"174",13,"Circle",4,3.082901554,1.016839378,5,"Low"
"175",13,"Circle",6,3.378220141,1.088992974,5,"Low"
"176",13,"Circle",6,3.62412178,1.295862607,6,"Low"
"177",13,"Circle",6,3.222092116,1.2490242,6,"Low"
"178",13,"Circle",7,3.28689759,1.147087726,6,"Low"
"179",13,"Circle",7,3.008283133,1.086846762,5,"Low"
"180",13,"Circle",7,4.122740964,1.142068901,5,"Low"
"181",13,"Circle",8,3.520574537,0.966928053,4,"Low"
"182",13,"Circle",8,3.308506904,1.220651828,6,"Low"
"183",13,"Circle",8,3.297146138,1.466801759,7,"Low"
"184",13,"Circle",10,3.358237731,1.608839003,8,"Low"
"185",13,"Circle",10,3.641889153,1.651893966,8,"Low"
"186",13,"Circle",10,3.872357715,1.444218874,7,"Low"
"187",13,"Circle",11,4.119556914,1.14973262,6,"Low"
"188",13,"Circle",11,3.947669977,1.249045073,6,"Low"
"189",13,"Circle",11,3.665011459,1.050420168,5,"Low"
"190",13,"Circle",12,4.277777778,0.862068966,4,"Low"
"191",13,"Circle",12,3.710727969,0.996168582,5,"Low"
"192",13,"Circle",12,4.017241379,1.302681992,7,"Low"
"193",14,"Tube",1,4.417275703,4.649595687,5,"Low"
"194",14,"Tube",2,3.071301965,4.170445956,5,"Low"
"195",14,"Tube",3,6.161211948,4.342973744,6,"Low"
"196",14,"Tube",4,2.922597378,4.141698502,5,"Low"
"197",14,"Tube",5,7.093548911,2.57503659,7,"Low"
"198",14,"Tube",6,3.894194041,4.505347594,5,"Low"
"199",14,"Tube",7,1.110482655,1.948214555,2,"Low"
"200",14,"Tube",12,7.058359621,2.222003155,7,"Low"
"201",14,"Tube",13,7.11651339,2.815949612,7,"Low"
"202",14,"Tube",14,7.115808824,1.924632353,7,"Low"
"203",14,"Circle",3,2.951517395,2.938564027,7,"Low"
"204",14,"Circle",5,2.502443778,2.247005684,5,"Low"
"205",14,"Circle",7,5.081300813,0.975609756,2,"Low"
"206",14,"Circle",8,3.870988465,0.290373906,1,"Low"
"207",14,"Circle",10,3.707750277,2.770463178,6,"Low"
"208",14,"Circle",11,4.032278912,3.139921969,7,"Low"
"209",14,"Circle",12,3.470119522,2.813412351,7,"Low"
