"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"121",1,11,"Circle",1,0,"High","Y"
"122",1,11,"Circle",2,0,"High","N"
"123",1,11,"Circle",3,0,"High","N"
"124",1,11,"Circle",4,0.151515151515152,"High","N"
"125",1,11,"Circle",5,0.141414141414141,"High","N"
"126",1,11,"Circle",6,0.303030303030303,"High","N"
"127",1,11,"Circle",7,0.363636363636364,"High","N"
"128",1,11,"Circle",8,0.0404040404040404,"High","N"
"129",1,10,"Circle",1,0,"High","Y"
"130",1,10,"Circle",2,0,"High","N"
"131",1,10,"Circle",3,0,"High","N"
"132",1,10,"Circle",4,0.133858267716535,"High","N"
"133",1,10,"Circle",5,0.125984251968504,"High","N"
"134",1,10,"Circle",6,0.251968503937008,"High","N"
"135",1,10,"Circle",7,0.37007874015748,"High","N"
"136",1,10,"Circle",8,0.118110236220472,"High","N"
"137",1,3,"Circle",1,0,"High","Y"
"138",1,3,"Circle",2,0,"High","N"
"139",1,3,"Circle",3,0,"High","N"
"140",1,3,"Circle",4,0.0826446280991736,"High","N"
"141",1,3,"Circle",5,0.132231404958678,"High","N"
"142",1,3,"Circle",6,0.338842975206612,"High","N"
"143",1,3,"Circle",7,0.363636363636364,"High","N"
"144",1,3,"Circle",8,0.0826446280991736,"High","N"
"145",1,13,"Circle",1,0,"High","Y"
"146",1,13,"Circle",2,0,"High","N"
"147",1,13,"Circle",3,0,"High","N"
"148",1,13,"Circle",4,0.104347826086957,"High","N"
"149",1,13,"Circle",5,0.130434782608696,"High","N"
"150",1,13,"Circle",6,0.295652173913043,"High","N"
"151",1,13,"Circle",7,0.365217391304348,"High","N"
"152",1,13,"Circle",8,0.104347826086957,"High","N"
"153",1,6,"Circle",1,0,"High","Y"
"154",1,6,"Circle",2,0,"High","N"
"155",1,6,"Circle",3,0,"High","N"
"156",1,6,"Circle",4,0,"High","N"
"157",1,6,"Circle",5,0.0677966101694915,"High","N"
"158",1,6,"Circle",6,0.186440677966102,"High","N"
"159",1,6,"Circle",7,0.364406779661017,"High","N"
"160",1,6,"Circle",8,0.38135593220339,"High","N"
"161",2,7,"Tube",1,0,"High","Y"
"162",2,7,"Tube",2,0,"High","N"
"163",2,7,"Tube",3,0,"High","Y"
"164",2,7,"Tube",4,0.133333333333333,"High","Y"
"165",2,7,"Tube",5,0.0666666666666667,"High","N"
"166",2,7,"Tube",6,0.6,"High","Y"
"167",2,7,"Tube",7,0.133333333333333,"High","Y"
"168",2,7,"Tube",8,0.0666666666666667,"High","N"
"169",2,4,"Tube",1,0,"High","Y"
"170",2,4,"Tube",2,0,"High","N"
"171",2,4,"Tube",3,0,"High","Y"
"172",2,4,"Tube",4,0,"High","Y"
"173",2,4,"Tube",5,0.153846153846154,"High","N"
"174",2,4,"Tube",6,0.615384615384615,"High","Y"
"175",2,4,"Tube",7,0.230769230769231,"High","Y"
"176",2,4,"Tube",8,0,"High","N"
"177",2,5,"Tube",1,0,"High","Y"
"178",2,5,"Tube",2,0,"High","N"
"179",2,5,"Tube",3,0,"High","Y"
"180",2,5,"Tube",4,0,"High","Y"
"181",2,5,"Tube",5,0.217391304347826,"High","N"
"182",2,5,"Tube",6,0.652173913043478,"High","Y"
"183",2,5,"Tube",7,0.130434782608696,"High","Y"
"184",2,5,"Tube",8,0,"High","N"
"185",2,10,"Tube",1,0,"High","Y"
"186",2,10,"Tube",2,0,"High","N"
"187",2,10,"Tube",3,0,"High","Y"
"188",2,10,"Tube",4,0.125,"High","Y"
"189",2,10,"Tube",5,0,"High","N"
"190",2,10,"Tube",6,0.5625,"High","Y"
"191",2,10,"Tube",7,0.3125,"High","Y"
"192",2,10,"Tube",8,0,"High","N"
"193",2,12,"Tube",1,0,"High","Y"
"194",2,12,"Tube",2,0,"High","N"
"195",2,12,"Tube",3,0,"High","Y"
"196",2,12,"Tube",4,0.0666666666666667,"High","Y"
"197",2,12,"Tube",5,0.133333333333333,"High","N"
"198",2,12,"Tube",6,0.6,"High","Y"
"199",2,12,"Tube",7,0.2,"High","Y"
"200",2,12,"Tube",8,0,"High","N"
"201",2,8,"Tube",1,0,"High","Y"
"202",2,8,"Tube",2,0,"High","N"
"203",2,8,"Tube",3,0,"High","Y"
"204",2,8,"Tube",4,0.133333333333333,"High","Y"
"205",2,8,"Tube",5,0,"High","N"
"206",2,8,"Tube",6,0.6,"High","Y"
"207",2,8,"Tube",7,0.266666666666667,"High","Y"
"208",2,8,"Tube",8,0,"High","N"
"209",2,9,"Tube",1,0,"High","Y"
"210",2,9,"Tube",2,0,"High","N"
"211",2,9,"Tube",3,0,"High","Y"
"212",2,9,"Tube",4,0.111111111111111,"High","Y"
"213",2,9,"Tube",5,0,"High","N"
"214",2,9,"Tube",6,0.722222222222222,"High","Y"
"215",2,9,"Tube",7,0.166666666666667,"High","Y"
"216",2,9,"Tube",8,0,"High","N"
"217",2,6,"Tube",1,0,"High","Y"
"218",2,6,"Tube",2,0,"High","N"
"219",2,6,"Tube",3,0.0555555555555556,"High","Y"
"220",2,6,"Tube",4,0,"High","Y"
"221",2,6,"Tube",5,0.111111111111111,"High","N"
"222",2,6,"Tube",6,0.777777777777778,"High","Y"
"223",2,6,"Tube",7,0.0555555555555556,"High","Y"
"224",2,6,"Tube",8,0,"High","N"
"225",2,13,"Tube",1,0,"High","Y"
"226",2,13,"Tube",2,0,"High","N"
"227",2,13,"Tube",3,0,"High","Y"
"228",2,13,"Tube",4,0.0625,"High","Y"
"229",2,13,"Tube",5,0.0625,"High","N"
"230",2,13,"Tube",6,0.6875,"High","Y"
"231",2,13,"Tube",7,0.1875,"High","Y"
"232",2,13,"Tube",8,0,"High","N"
"233",2,11,"Tube",1,0,"High","Y"
"234",2,11,"Tube",2,0,"High","N"
"235",2,11,"Tube",3,0,"High","Y"
"236",2,11,"Tube",4,0.0625,"High","Y"
"237",2,11,"Tube",5,0.125,"High","N"
"238",2,11,"Tube",6,0.75,"High","Y"
"239",2,11,"Tube",7,0.0625,"High","Y"
"240",2,11,"Tube",8,0,"High","N"
"241",2,5,"Circle",1,0.0294117647058824,"High","Y"
"242",2,5,"Circle",2,0,"High","N"
"243",2,5,"Circle",3,0.0294117647058824,"High","N"
"244",2,5,"Circle",4,0.0294117647058824,"High","N"
"245",2,5,"Circle",5,0.264705882352941,"High","N"
"246",2,5,"Circle",6,0.147058823529412,"High","N"
"247",2,5,"Circle",7,0.441176470588235,"High","N"
"248",2,5,"Circle",8,0.0588235294117647,"High","N"
"249",2,13,"Circle",1,0.027027027027027,"High","Y"
