"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
1,3,"Circle",1,0,"High","Y"
1,3,"Circle",2,0,"High","N"
1,3,"Circle",3,0,"High","N"
1,3,"Circle",4,0.0826446280991736,"High","N"
1,3,"Circle",5,0.132231404958678,"High","N"
1,3,"Circle",6,0.338842975206612,"High","N"
1,3,"Circle",7,0.363636363636364,"High","N"
1,3,"Circle",8,0.0826446280991736,"High","N"
1,13,"Circle",1,0,"High","Y"
1,13,"Circle",2,0,"High","N"
1,13,"Circle",3,0,"High","N"
1,13,"Circle",4,0.104347826086957,"High","N"
1,13,"Circle",5,0.130434782608696,"High","N"
1,13,"Circle",6,0.295652173913043,"High","N"
1,13,"Circle",7,0.365217391304348,"High","N"
1,13,"Circle",8,0.104347826086957,"High","N"
1,6,"Circle",1,0,"High","Y"
1,6,"Circle",2,0,"High","N"
1,6,"Circle",3,0,"High","N"
1,6,"Circle",4,0,"High","N"
1,6,"Circle",5,0.0677966101694915,"High","N"
1,6,"Circle",6,0.186440677966102,"High","N"
1,6,"Circle",7,0.364406779661017,"High","N"
1,6,"Circle",8,0.38135593220339,"High","N"
2,7,"Tube",1,0,"High","Y"
2,7,"Tube",2,0,"High","N"
2,7,"Tube",3,0,"High","Y"
2,7,"Tube",4,0.133333333333333,"High","Y"
2,7,"Tube",5,0.0666666666666667,"High","N"
2,7,"Tube",6,0.6,"High","Y"
2,7,"Tube",7,0.133333333333333,"High","Y"
2,7,"Tube",8,0.0666666666666667,"High","N"
2,4,"Tube",1,0,"High","Y"
2,4,"Tube",2,0,"High","N"
2,4,"Tube",3,0,"High","Y"
2,4,"Tube",4,0,"High","Y"
2,4,"Tube",5,0.153846153846154,"High","N"
2,4,"Tube",6,0.615384615384615,"High","Y"
2,4,"Tube",7,0.230769230769231,"High","Y"
2,4,"Tube",8,0,"High","N"
2,5,"Tube",1,0,"High","Y"
2,5,"Tube",2,0,"High","N"
2,5,"Tube",3,0,"High","Y"
2,5,"Tube",4,0,"High","Y"
2,5,"Tube",5,0.217391304347826,"High","N"
2,5,"Tube",6,0.652173913043478,"High","Y"
2,5,"Tube",7,0.130434782608696,"High","Y"
2,5,"Tube",8,0,"High","N"
2,10,"Tube",1,0,"High","Y"
2,10,"Tube",2,0,"High","N"
2,10,"Tube",3,0,"High","Y"
2,10,"Tube",4,0.125,"High","Y"
2,10,"Tube",5,0,"High","N"
2,10,"Tube",6,0.5625,"High","Y"
2,10,"Tube",7,0.3125,"High","Y"
2,10,"Tube",8,0,"High","N"
2,12,"Tube",1,0,"High","Y"
2,12,"Tube",2,0,"High","N"
2,12,"Tube",3,0,"High","Y"
2,12,"Tube",4,0.0666666666666667,"High","Y"
2,12,"Tube",5,0.133333333333333,"High","N"
2,12,"Tube",6,0.6,"High","Y"
2,12,"Tube",7,0.2,"High","Y"
2,12,"Tube",8,0,"High","N"
2,8,"Tube",1,0,"High","Y"
2,8,"Tube",2,0,"High","N"
2,8,"Tube",3,0,"High","Y"
2,8,"Tube",4,0.133333333333333,"High","Y"
2,8,"Tube",5,0,"High","N"
2,8,"Tube",6,0.6,"High","Y"
2,8,"Tube",7,0.266666666666667,"High","Y"
2,8,"Tube",8,0,"High","N"
2,9,"Tube",1,0,"High","Y"
2,9,"Tube",2,0,"High","N"
2,9,"Tube",3,0,"High","Y"
2,9,"Tube",4,0.111111111111111,"High","Y"
2,9,"Tube",5,0,"High","N"
2,9,"Tube",6,0.722222222222222,"High","Y"
2,9,"Tube",7,0.166666666666667,"High","Y"
2,9,"Tube",8,0,"High","N"
2,6,"Tube",1,0,"High","Y"
2,6,"Tube",2,0,"High","N"
2,6,"Tube",3,0.0555555555555556,"High","Y"
2,6,"Tube",4,0,"High","Y"
2,6,"Tube",5,0.111111111111111,"High","N"
2,6,"Tube",6,0.777777777777778,"High","Y"
2,6,"Tube",7,0.0555555555555556,"High","Y"
2,6,"Tube",8,0,"High","N"
2,13,"Tube",1,0,"High","Y"
2,13,"Tube",2,0,"High","N"
2,13,"Tube",3,0,"High","Y"
2,13,"Tube",4,0.0625,"High","Y"
2,13,"Tube",5,0.0625,"High","N"
2,13,"Tube",6,0.6875,"High","Y"
2,13,"Tube",7,0.1875,"High","Y"
2,13,"Tube",8,0,"High","N"
2,11,"Tube",1,0,"High","Y"
2,11,"Tube",2,0,"High","N"
2,11,"Tube",3,0,"High","Y"
2,11,"Tube",4,0.0625,"High","Y"
2,11,"Tube",5,0.125,"High","N"
2,11,"Tube",6,0.75,"High","Y"
2,11,"Tube",7,0.0625,"High","Y"
2,11,"Tube",8,0,"High","N"
2,5,"Circle",1,0.0294117647058824,"High","Y"
2,5,"Circle",2,0,"High","N"
2,5,"Circle",3,0.0294117647058824,"High","N"
2,5,"Circle",4,0.0294117647058824,"High","N"
2,5,"Circle",5,0.264705882352941,"High","N"
2,5,"Circle",6,0.147058823529412,"High","N"
2,5,"Circle",7,0.441176470588235,"High","N"
2,5,"Circle",8,0.0588235294117647,"High","N"
2,13,"Circle",1,0.027027027027027,"High","Y"
2,13,"Circle",2,0.108108108108108,"High","N"
2,13,"Circle",3,0.162162162162162,"High","N"
2,13,"Circle",4,0.297297297297297,"High","N"
2,13,"Circle",5,0.324324324324324,"High","N"
2,13,"Circle",6,0.0810810810810811,"High","N"
2,13,"Circle",7,0,"High","N"
2,13,"Circle",8,0,"High","N"
2,8,"Circle",1,0,"High","Y"
2,8,"Circle",2,0.0263157894736842,"High","N"
2,8,"Circle",3,0,"High","N"
2,8,"Circle",4,0.0263157894736842,"High","N"
2,8,"Circle",5,0.131578947368421,"High","N"
2,8,"Circle",6,0.184210526315789,"High","N"
2,8,"Circle",7,0.368421052631579,"High","N"
2,8,"Circle",8,0.263157894736842,"High","N"
2,9,"Circle",1,0,"High","Y"
2,9,"Circle",2,0.0285714285714286,"High","N"
2,9,"Circle",3,0,"High","N"
2,9,"Circle",4,0.0857142857142857,"High","N"
2,9,"Circle",5,0.285714285714286,"High","N"
2,9,"Circle",6,0.228571428571429,"High","N"
2,9,"Circle",7,0.285714285714286,"High","N"
2,9,"Circle",8,0.0857142857142857,"High","N"
2,7,"Circle",1,0,"High","Y"
2,7,"Circle",2,0,"High","N"
2,7,"Circle",3,0.0294117647058824,"High","N"
2,7,"Circle",4,0.0294117647058824,"High","N"
2,7,"Circle",5,0.176470588235294,"High","N"
2,7,"Circle",6,0.117647058823529,"High","N"
2,7,"Circle",7,0.382352941176471,"High","N"
2,7,"Circle",8,0.264705882352941,"High","N"
2,10,"Circle",1,0,"High","Y"
2,10,"Circle",2,0,"High","N"
2,10,"Circle",3,0.032258064516129,"High","N"
2,10,"Circle",4,0.0645161290322581,"High","N"
