"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood","Sex","Ratio"
"62",12,"Tube",9,3.333333333,1.695906433,"Low","Y",1,0.437504871754609,"M",0.833333333333333
"63",12,"Tube",9,3.14875731,1.763523392,"Low","N",2,0.42079015226372,"M",0.833333333333333
"64",12,"Tube",9,2.775950292,1.449195906,"Low","N",2,0.393927690404666,"M",0.833333333333333
"65",12,"Tube",9,2.543859649,1.631335892,"Low","N",2,0.369418059385843,"M",0.833333333333333
"66",12,"Tube",9,2.135721857,1.705652412,"Low","N",2,0.332922944748516,"M",0.833333333333333
"67",12,"Tube",9,2.009014985,1.502192982,"Low","N",2,0.33464743001042,"M",0.833333333333333
"68",12,"Tube",9,1.614278143,1.660575658,"Low","Y",3,0.416521046416857,"M",0.833333333333333
"69",12,"Tube",9,1.775096857,1.689815424,"Low","Y",3,0.413205441967374,"M",0.833333333333333
"70",12,"Tube",9,1.49122807,1.987085161,"Low","Y",3,0.390092024174199,"M",0.833333333333333
"71",12,"Tube",9,1.695906433,2.411061769,"Low","Y",3,0.349721225855688,"M",0.833333333333333
"72",12,"Tube",9,1.733675073,2.670564693,"Low","Y",3,0.32653468182776,"M",0.833333333333333
"73",12,"Tube",9,3.076876827,3.15911367,"Low","N",5,0.180965376817021,"F",0.833333333333333
"74",12,"Tube",9,3.149976243,3.402777778,"Low","N",5,0.174506568460077,"F",0.833333333333333
"75",12,"Tube",9,4.449318348,3.435672515,"Low","N",5,0.0607569223398,"M",0.833333333333333
"76",12,"Tube",9,4.356725146,3.205409357,"Low","N",5,0.0677244864686552,"M",0.833333333333333
"77",12,"Tube",9,5.404482822,3.333333333,"Low","Y",6,0.0257391655987102,"F",0.833333333333333
"78",12,"Tube",9,5.910696272,3.206017909,"Low","Y",6,0.0704300423597843,"M",0.833333333333333
"79",12,"Tube",9,6.013035453,3.098806652,"Low","Y",6,0.0807988804122926,"M",0.833333333333333
"80",12,"Tube",9,6.065423977,2.72721674,"Low","Y",7,0.100882053483584,"M",0.833333333333333
"81",12,"Tube",9,5.958210892,2.057139985,"Low","Y",7,0.153708360760347,"F",0.833333333333333
