Colony,Nest,Date,Day
10,Tube,6/6/18,11
1,Tube,13-Sep-17,12
8,Tube,6-Jun-18,15
9,Tube,6-Jun-18,16
11,Tube,27-May-18,1
11,Tube,28-May-18,2
11,Tube,29-May-18,3
11,Tube,30-May-18,4
11,Tube,31-May-18,5
11,Tube,1-Jun-18,6
11,Tube,2-Jun-18,7
11,Tube,3-Jun-18,8
11,Tube,4-Jun-18,9
11,Tube,5-Jun-18,10
11,Tube,6-Jun-18,11
11,Tube,7-Jun-18,12
11,Tube,8-Jun-18,13
11,Tube,9-Jun-18,14
11,Circle,12-Jun-18,1
11,Circle,13-Jun-18,2
11,Circle,14-Jun-18,3
11,Circle,15-Jun-18,4
11,Circle,16-Jun-18,5
11,Circle,17-Jun-18,6
11,Circle,18-Jun-18,7
11,Circle,19-Jun-18,8
11,Circle,20-Jun-18,9
11,Circle,21-Jun-18,10
11,Circle,22-Jun-18,11
11,Circle,23-Jun-18,12
11,Circle,24-Jun-18,13
11,Circle,25-Jun-18,14
12,Circle,28-May-18,1
12,Circle,29-May-18,2
12,Circle,30-May-18,3
12,Circle,31-May-18,4
12,Circle,1-Jun-18,5
12,Circle,2-Jun-18,6
12,Circle,3-Jun-18,7
12,Circle,4-Jun-18,8
12,Circle,5-Jun-18,9
12,Circle,6-Jun-18,10
12,Circle,7-Jun-18,11
12,Circle,8-Jun-18,12
12,Circle,9-Jun-18,13
12,Circle,10-Jun-18,14
12,Tube,13-Jun-18,1
12,Tube,14-Jun-18,2
12,Tube,15-Jun-18,3
12,Tube,16-Jun-18,4
12,Tube,17-Jun-18,5
12,Tube,18-Jun-18,6
12,Tube,19-Jun-18,7
12,Tube,20-Jun-18,8
12,Tube,21-Jun-18,9
12,Tube,22-Jun-18,10
12,Tube,23-Jun-18,11
12,Tube,24-Jun-18,12
12,Tube,25-Jun-18,13
12,Tube,26-Jun-18,14
13,Circle,28-May-18,1
13,Circle,29-May-18,2
13,Circle,30-May-18,3
13,Circle,31-May-18,4
13,Circle,1-Jun-18,5
13,Circle,2-Jun-18,6
13,Circle,3-Jun-18,7
13,Circle,4-Jun-18,8
13,Circle,5-Jun-18,9
13,Circle,6-Jun-18,10
13,Circle,7-Jun-18,11
13,Circle,8-Jun-18,12
13,Circle,9-Jun-18,13
13,Circle,10-Jun-18,14
13,Tube,13-Jun-18,1
13,Tube,14-Jun-18,2
13,Tube,15-Jun-18,3
13,Tube,16-Jun-18,4
13,Tube,17-Jun-18,5
13,Tube,18-Jun-18,6
13,Tube,19-Jun-18,7
13,Tube,20-Jun-18,8
13,Tube,21-Jun-18,9
13,Tube,22-Jun-18,10
13,Tube,23-Jun-18,11
13,Tube,24-Jun-18,12
13,Tube,25-Jun-18,13
13,Tube,26-Jun-18,14
14,Tube,2-Jun-18,1
14,Tube,3-Jun-18,2
14,Tube,4-Jun-18,3
14,Tube,5-Jun-18,4
14,Tube,6-Jun-18,5
14,Tube,7-Jun-18,6
14,Tube,8-Jun-18,7
14,Tube,9-Jun-18,8
14,Tube,10-Jun-18,9
14,Tube,11-Jun-18,10
14,Tube,12-Jun-18,11
14,Tube,13-Jun-18,12
14,Tube,14-Jun-18,13
14,Tube,15-Jun-18,14
14,Circle,18-Jun-18,1
14,Circle,19-Jun-18,2
14,Circle,20-Jun-18,3
14,Circle,21-Jun-18,4
14,Circle,22-Jun-18,5
14,Circle,23-Jun-18,6
14,Circle,24-Jun-18,7
14,Circle,25-Jun-18,8
14,Circle,26-Jun-18,9
14,Circle,27-Jun-18,10
14,Circle,28-Jun-18,11
14,Circle,29-Jun-18,12
14,Circle,30-Jun-18,13
14,Circle,1-Jul-18,14
15,Circle,2-Jun-18,1
15,Circle,3-Jun-18,2
15,Circle,4-Jun-18,3
15,Circle,5-Jun-18,4
15,Circle,6-Jun-18,5
15,Circle,7-Jun-18,6
15,Circle,8-Jun-18,7
15,Circle,9-Jun-18,8
15,Circle,10-Jun-18,9
15,Circle,11-Jun-18,10
15,Circle,12-Jun-18,11
15,Circle,13-Jun-18,12
15,Circle,14-Jun-18,13
15,Circle,15-Jun-18,14
15,Tube,18-Jun-18,1
15,Tube,19-Jun-18,2
15,Tube,20-Jun-18,3
15,Tube,21-Jun-18,4
15,Tube,22-Jun-18,5
15,Tube,23-Jun-18,6
15,Tube,24-Jun-18,7
15,Tube,25-Jun-18,8
15,Tube,26-Jun-18,9
15,Tube,27-Jun-18,10
15,Tube,28-Jun-18,11
15,Tube,29-Jun-18,12
15,Tube,30-Jun-18,13
15,Tube,1-Jul-18,14
16,Circle,4-Jul-18,1
16,Circle,5-Jul-18,2
16,Circle,6-Jul-18,3
16,Circle,7-Jul-18,4
16,Circle,8-Jul-18,5
16,Circle,9-Jul-18,6
16,Circle,10-Jul-18,7
16,Circle,11-Jul-18,8
16,Circle,12-Jul-18,9
16,Circle,13-Jul-18,10
16,Circle,14-Jul-18,11
16,Circle,15-Jul-18,12
16,Circle,16-Jul-18,13
16,Circle,17-Jul-18,14
16,Tube,29-Jul-18,1
16,Tube,30-Jul-18,2
16,Tube,31-Jul-18,3
16,Tube,1-Aug-18,4
16,Tube,2-Aug-18,5
16,Tube,3-Aug-18,6
16,Tube,4-Aug-18,7
16,Tube,5-Aug-18,8
16,Tube,6-Aug-18,9
16,Tube,7-Aug-18,10
16,Tube,8-Aug-18,11
16,Tube,9-Aug-18,12
16,Tube,10-Aug-18,13
16,Tube,11-Aug-18,14
17,Tube,7-Jul-18,1
17,Tube,8-Jul-18,2
17,Tube,9-Jul-18,3
17,Tube,10-Jul-18,4
17,Tube,11-Jul-18,5
17,Tube,12-Jul-18,6
17,Tube,13-Jul-18,7
17,Tube,14-Jul-18,8
17,Tube,15-Jul-18,9
17,Tube,16-Jul-18,10
17,Tube,17-Jul-18,11
17,Tube,18-Jul-18,12
17,Tube,19-Jul-18,13
17,Tube,20-Jul-18,14
17,Circle,30-Jul-18,1
17,Circle,31-Jul-18,2
17,Circle,1-Aug-18,3
17,Circle,2-Aug-18,4
17,Circle,3-Aug-18,5
17,Circle,4-Aug-18,6
17,Circle,5-Aug-18,7
17,Circle,6-Aug-18,8
17,Circle,7-Aug-18,9
17,Circle,8-Aug-18,10
17,Circle,9-Aug-18,11
17,Circle,10-Aug-18,12
17,Circle,11-Aug-18,13
17,Circle,12-Aug-18,14
18,Tube,7-Jul-18,1
18,Tube,8-Jul-18,2
18,Tube,9-Jul-18,3
18,Tube,10-Jul-18,4
18,Tube,11-Jul-18,5
18,Tube,12-Jul-18,6
18,Tube,13-Jul-18,7
18,Tube,14-Jul-18,8
18,Tube,15-Jul-18,9
18,Tube,16-Jul-18,10
18,Tube,17-Jul-18,11
18,Tube,18-Jul-18,12
18,Tube,19-Jul-18,13
18,Tube,20-Jul-18,14
18,Circle,30-Jul-18,1
18,Circle,31-Jul-18,2
18,Circle,1-Aug-18,3
18,Circle,2-Aug-18,4
18,Circle,3-Aug-18,5
18,Circle,4-Aug-18,6
18,Circle,5-Aug-18,7
18,Circle,6-Aug-18,8
18,Circle,7-Aug-18,9
18,Circle,8-Aug-18,10
18,Circle,9-Aug-18,11
18,Circle,10-Aug-18,12
18,Circle,11-Aug-18,13
18,Circle,12-Aug-18,14
19,Circle,8-Jul-18,1
19,Circle,9-Jul-18,2
19,Circle,10-Jul-18,3
19,Circle,11-Jul-18,4
19,Circle,12-Jul-18,5
19,Circle,13-Jul-18,6
19,Circle,14-Jul-18,7
19,Circle,15-Jul-18,8
19,Circle,16-Jul-18,9
19,Circle,17-Jul-18,10
19,Circle,18-Jul-18,11
19,Circle,19-Jul-18,12
19,Circle,20-Jul-18,13
19,Circle,21-Jul-18,14
19,Circle,22-Jul-18,15
19,Tube,29-Jul-18,1
19,Tube,30-Jul-18,2
19,Tube,31-Jul-18,3
19,Tube,1-Aug-18,4
19,Tube,2-Aug-18,5
19,Tube,3-Aug-18,6
19,Tube,4-Aug-18,7
19,Tube,5-Aug-18,8
19,Tube,6-Aug-18,9
19,Tube,7-Aug-18,10
19,Tube,8-Aug-18,11
19,Tube,9-Aug-18,12
19,Tube,10-Aug-18,13
19,Tube,11-Aug-18,14
20,Tube,15-Jul-18,1
20,Tube,16-Jul-18,2
20,Tube,17-Jul-18,3
20,Tube,18-Jul-18,1
20,Tube,19-Jul-18,2
20,Tube,20-Jul-18,3
20,Tube,21-Jul-18,4
20,Tube,22-Jul-18,5
20,Tube,23-Jul-18,6
20,Tube,24-Jul-18,7
20,Tube,25-Jul-18,8
20,Tube,26-Jul-18,9
20,Tube,27-Jul-18,10
20,Tube,28-Jul-18,11
20,Tube,29-Jul-18,12
20,Tube,30-Jul-18,13
20,Tube,31-Jul-18,14
20,Circle,29-Jul-18,1
20,Circle,30-Jul-18,2
20,Circle,31-Jul-18,3
20,Circle,1-Aug-18,4
20,Circle,2-Aug-18,5
20,Circle,3-Aug-18,6
20,Circle,4-Aug-18,7
20,Circle,5-Aug-18,8
20,Circle,6-Aug-18,9
20,Circle,7-Aug-18,10
20,Circle,8-Aug-18,11
20,Circle,9-Aug-18,12
20,Circle,10-Aug-18,13
20,Circle,11-Aug-18,14
